"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"epst.p[3, 10]",3.48,1.5,5.4,-2.46,17.15
"epst.p[4, 10]",-0.5,-0.52,0.5,-1.39,0.54
"epst.p[5, 10]",1.64,1.18,2.21,-1.37,7.25
"epst.p[6, 10]",-0.88,-1.13,1.58,-2.88,3.46
"epst.p[7, 10]",-7.07,-6.2,3.78,-16.75,-2.26
"epst.p[8, 10]",-3.01,-2.84,2.47,-8.57,1.84
"epst.p[9, 10]",-3.19,-3,1.27,-6.31,-1.24
"epst.p[1, 11]",0.26,-1.58,4.66,-3.74,13.34
"epst.p[2, 11]",-7.58,-6.65,4.75,-19.32,-1.12
"epst.p[3, 11]",-8.98,-7.93,4.67,-20.24,-2.78
"epst.p[4, 11]",-1.29,-1.28,0.5,-2.23,-0.32
"epst.p[5, 11]",-1.18,-1.11,0.64,-2.7,-0.15
"epst.p[6, 11]",-2.12,-2.09,0.63,-3.41,-0.98
"epst.p[7, 11]",0.79,-0.47,4.2,-4.42,12.11
"epst.p[8, 11]",-0.09,-0.49,2.4,-3.69,6.32
"epst.p[9, 11]",-1.68,-2.03,3.12,-5.09,5.62
"epst.p[1, 12]",4.85,3.7,5.26,-1.78,17.11
"epst.p[2, 12]",-4.29,-4.13,1.2,-7.08,-2.38
"epst.p[3, 12]",5.98,4.67,5.15,-0.25,18.07
"epst.p[4, 12]",2.04,1.75,1.36,0.36,5.33
"epst.p[5, 12]",4.23,3.75,2.09,1.55,10.18
"epst.p[6, 12]",-1.61,-1.59,0.69,-3.03,-0.24
"epst.p[7, 12]",-1.57,-1.53,0.42,-2.74,-0.89
"epst.p[8, 12]",1.05,0.81,1.46,-0.96,4.46
"epst.p[9, 12]",-3.67,-3.53,1.23,-6.57,-1.73
"epst.p[1, 13]",-0.47,-1.24,2.91,-2.9,9.74
"epst.p[2, 13]",-7.99,-7.02,4.72,-19.32,-1.73
"epst.p[3, 13]",-9.19,-8.21,4.56,-20.08,-3.13
"epst.p[4, 13]",2.43,2.15,1.57,0.42,6.27
"epst.p[5, 13]",-0.52,-0.49,0.41,-1.68,0.17
"epst.p[6, 13]",0.44,0.31,0.85,-0.58,2.22
"epst.p[7, 13]",6.39,5.41,3.9,1.43,15.99
"epst.p[8, 13]",-0.01,-0.38,2.02,-2.79,5.36
"epst.p[9, 13]",-2.92,-2.82,1.43,-6.14,-0.39
"epst.p[1, 14]",7.38,6.35,4.79,1.31,19.5
"epst.p[2, 14]",-3.44,-3.38,0.63,-4.85,-2.37
"epst.p[3, 14]",6.63,5.33,5.13,0.7,19.32
"epst.p[4, 14]",1.8,1.48,1.33,0.13,5.35
"epst.p[5, 14]",3.74,3.31,2.06,1.08,9.22
"epst.p[6, 14]",5.08,4.66,2.21,2.14,10.54
"epst.p[7, 14]",-1.84,-1.8,0.33,-2.72,-1.3
"epst.p[8, 14]",-4.6,-4.48,0.95,-6.88,-3.1
"epst.p[9, 14]",-3.41,-3.37,0.62,-4.81,-2.31
"epst.p[1, 15]",-1.07,-1.08,0.26,-1.52,-0.53
"epst.p[2, 15]",-8.4,-7.48,4.4,-19.35,-2.69
"epst.p[3, 15]",-9.59,-8.6,4.69,-22.11,-3.61
"epst.p[4, 15]",-0.97,-0.98,0.36,-1.68,-0.25
"epst.p[5, 15]",-0.52,-0.49,0.32,-1.44,0.01
"epst.p[6, 15]",1.25,1.2,0.46,0.61,2.24
"epst.p[7, 15]",-7.62,-6.75,3.66,-16.62,-2.89
"epst.p[8, 15]",0.51,-0.01,2.03,-1.85,6.14
"epst.p[9, 15]",-8.57,-7.55,4.46,-19.76,-2.85
"epst.p[1, 16]",6.86,5.88,4.89,0.37,18.72
"epst.p[2, 16]",-3.07,-3.06,0.6,-4.31,-1.97
"epst.p[3, 16]",8.39,7.25,5.03,1.93,20.64
"epst.p[4, 16]",-0.79,-0.8,0.36,-1.47,-0.05
"epst.p[5, 16]",-0.57,-0.6,0.62,-1.69,0.74
"epst.p[6, 16]",4.98,4.58,2.24,1.95,10.6
"epst.p[7, 16]",-1.64,-1.6,0.39,-2.75,-1.01
"epst.p[8, 16]",-2.93,-2.89,0.53,-4.1,-2
"epst.p[9, 16]",-2.5,-2.46,0.49,-3.5,-1.62
"epst.p[1, 17]",4.57,2.94,5.23,-0.85,17.61
"epst.p[2, 17]",-8.59,-7.54,4.49,-20.51,-2.78
"epst.p[3, 17]",-9.66,-8.65,4.57,-21.27,-3.7
"epst.p[4, 17]",-0.92,-0.92,0.36,-1.6,-0.17
"epst.p[5, 17]",-1.67,-1.66,0.46,-2.76,-0.78
"epst.p[6, 17]",4.03,3.53,2.2,1.27,9.63
"epst.p[7, 17]",-3.58,-3.45,1.2,-6.31,-1.57
"epst.p[8, 17]",0.76,0.28,1.96,-1.69,5.96
"epst.p[9, 17]",-8.25,-7.21,4.28,-19.43,-2.86
"epst.p[1, 18]",NA,NA,NA,NA,NA
"epst.p[2, 18]",NA,NA,NA,NA,NA
"epst.p[3, 18]",NA,NA,NA,NA,NA
"epst.p[4, 18]",NA,NA,NA,NA,NA
"epst.p[5, 18]",NA,NA,NA,NA,NA
"epst.p[6, 18]",NA,NA,NA,NA,NA
"epst.p[7, 18]",NA,NA,NA,NA,NA
